source,group,split,case,audit,gt,label,hybrid_trace,hybrid_column,hybrid_positive_frames,response_episode_count,response_episode_onsets,first_response_frame,backward36_window_start,eligible_candidate_count,eligible_candidate_frames,backward36_score,backward36_best_frame,future_pair_score_36,max_event_score,status
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0004,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0004_hybrid_trace.csv,hybrid_candidate,59,2,"114,123",114.0,78.0,3,"111,118,123",0.6551218700999727,118.0,9.44331704862626,9.44331704862626,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0006,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0006_hybrid_trace.csv,hybrid_candidate,63,3,"95,124,142",95.0,59.0,8,"60,68,80,89,92,104,116,117",35.078548200844764,60.0,35.078548200844764,35.078548200844764,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0014,PENETRATION,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0014_hybrid_trace.csv,hybrid_candidate,60,6,"72,80,150,161,169,181",72.0,36.0,6,"60,65,72,123,154,158",19.371400165658493,154.0,20.475462928800894,20.475462928800894,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0015,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0015_hybrid_trace.csv,hybrid_candidate,36,3,"133,162,173",133.0,97.0,8,"110,122,127,134,147,158,159,171",9.709080005723868,122.0,9.709080005723868,9.709080005723868,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0022,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0022_hybrid_trace.csv,hybrid_candidate,51,3,"88,125,169",88.0,52.0,7,"63,78,90,105,117,141,158",60.47427097835438,141.0,88.68286675858208,88.68286675858208,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,56,1,124,124.0,88.0,2,"95,117",0.0068099880689827,117.0,1.6154021134729093,1.6154021134729093,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0025,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0025_hybrid_trace.csv,hybrid_candidate,2,0,,,,0,,,,8.306510661445541,8.306510661445541,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0029,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0029_hybrid_trace.csv,hybrid_candidate,1,0,,,,0,,,,79.20742406767062,79.20742406767062,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0034,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0034_hybrid_trace.csv,hybrid_candidate,37,1,130,130.0,94.0,2,"100,113",0.0550834038708705,113.0,7.582335675583208,7.582335675583208,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0040,UNSCORED,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0040_hybrid_trace.csv,hybrid_candidate,0,0,,,,0,,,,,21.414942966733506,ABSTAIN_NO_RELIABLE_RESPONSE
