split,case,audit,eval_gt,target,motion_any_video,max_event_score,max_event_frame,future_pair_score_12,future_pair_frame_12,future_pair_status_12,future_pair_score_24,future_pair_frame_24,future_pair_status_24,future_pair_score_36,future_pair_frame_36,future_pair_status_36
FRESH20,Cosmos3_seed101_0004,CONTACT,1.0,yellow cube,1,9.44331704862626,159,9.44331704862626,159.0,SCORED,9.44331704862626,159.0,SCORED,9.44331704862626,159.0,SCORED
FRESH20,Cosmos3_seed101_0014,PENETRATION,,white cup,1,20.475462928800898,108,20.475462928800898,108.0,SCORED,20.475462928800898,108.0,SCORED,20.475462928800898,108.0,SCORED
FRESH20,Cosmos3_seed101_0015,CONTACT,1.0,white cup,1,9.709080005723868,122,9.709080005723868,122.0,SCORED,9.709080005723868,122.0,SCORED,9.709080005723868,122.0,SCORED
FRESH20,Cosmos3_seed101_0029,CONTACT,1.0,brown cube,1,79.20742406767062,130,79.20742406767062,130.0,SCORED,79.20742406767062,130.0,SCORED,79.20742406767062,130.0,SCORED
FRESH20,Cosmos3_seed101_0034,CONTACT,1.0,yellow cube,1,7.582335675583208,159,7.582335675583208,159.0,SCORED,7.582335675583208,159.0,SCORED,7.582335675583208,159.0,SCORED
FRESH20,Cosmos3_seed101_0040,UNSCORED,,brown cube,0,21.414942966733502,173,,,ABSTAIN,,,ABSTAIN,,,ABSTAIN
FRESH20,Cosmos3_seed101_0042,CONTACT,1.0,brown cube,1,24.89084369821776,123,24.89084369821776,123.0,SCORED,24.89084369821776,123.0,SCORED,24.89084369821776,123.0,SCORED
FRESH20,Cosmos3_seed102_0015,CONTACT,1.0,white cup,1,39.52572902164562,138,9.973896517669663,187.0,SCORED,9.973896517669663,187.0,SCORED,39.52572902164562,138.0,SCORED
FRESH20,Cosmos3_seed102_0019,CONTACT,1.0,banana,1,28.763797312468476,70,10.360808901986905,94.0,SCORED,10.360808901986905,94.0,SCORED,28.763797312468476,70.0,SCORED
FRESH20,Cosmos3_seed102_0025,CONTACT,1.0,yellow cube,1,18.498285700377256,144,18.498285700377256,144.0,SCORED,18.498285700377256,144.0,SCORED,18.498285700377256,144.0,SCORED
FRESH20,Cosmos3_seed102_0027,UNSCORED,,white tape roll,1,19.533858004245918,32,0.39737472736192336,127.0,SCORED,0.39737472736192336,127.0,SCORED,0.39737472736192336,127.0,SCORED
FRESH20,Cosmos3_seed102_0029,NO_CONTACT,0.0,brown cube,1,20.475462928800898,111,20.475462928800898,111.0,SCORED,20.475462928800898,111.0,SCORED,20.475462928800898,111.0,SCORED
FRESH20,Cosmos3_seed102_0036,NO_CONTACT,0.0,white tape roll,1,11.350433822458125,67,4.625011745072874,91.0,SCORED,4.625011745072874,91.0,SCORED,11.350433822458125,67.0,SCORED
FRESH20,Cosmos3_seed102_0042,CONTACT,1.0,brown cube,0,5.695239355912678,93,,,ABSTAIN,,,ABSTAIN,,,ABSTAIN
FRESH20,Cosmos3_seed103_0003,CONTACT_UNCERTAIN,,yellow cube,1,76.91867903338876,106,76.91867903338876,106.0,SCORED,76.91867903338876,106.0,SCORED,76.91867903338876,106.0,SCORED
FRESH20,Cosmos3_seed103_0004,CONTACT,1.0,yellow cube,1,50.0,111,50.0,111.0,SCORED,50.0,111.0,SCORED,50.0,111.0,SCORED
FRESH20,Cosmos3_seed103_0026,UNSCORED,,white tape,1,53.980120098499896,134,53.980120098499896,134.0,SCORED,53.980120098499896,134.0,SCORED,53.980120098499896,134.0,SCORED
FRESH20,Cosmos3_seed103_0028,CONTACT,1.0,white tape roll,1,11.895254149238758,149,11.895254149238758,149.0,SCORED,11.895254149238758,149.0,SCORED,11.895254149238758,149.0,SCORED
FRESH20,Cosmos3_seed103_0035,CONTACT,1.0,yellow cube,1,21.768104339756892,140,21.768104339756892,140.0,SCORED,21.768104339756892,140.0,SCORED,21.768104339756892,140.0,SCORED
FRESH20,Cosmos3_seed103_0036,CONTACT,1.0,white tape roll,0,13.655903224901655,63,,,ABSTAIN,,,ABSTAIN,,,ABSTAIN
PRIMARY9,Cosmos3_seed101_0006,CONTACT,1.0,brown paper cup,1,35.078548200844764,60,24.2382233844501,89.0,SCORED,24.2382233844501,89.0,SCORED,35.078548200844764,60.0,SCORED
PRIMARY9,Cosmos3_seed101_0022,CONTACT,1.0,brown paper cup,1,88.68286675858208,129,88.68286675858208,129.0,SCORED,88.68286675858208,129.0,SCORED,88.68286675858208,129.0,SCORED
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,1,1.6154021134729093,158,1.6154021134729093,158.0,SCORED,1.6154021134729093,158.0,SCORED,1.6154021134729093,158.0,SCORED
PRIMARY9,Cosmos3_seed101_0025,NO_CONTACT,0.0,yellow cube,1,8.306510661445541,103,8.306510661445541,103.0,SCORED,8.306510661445541,103.0,SCORED,8.306510661445541,103.0,SCORED
PRIMARY9,Cosmos3_seed102_0014,NO_CONTACT,0.0,white cup,1,14.9862158756494,178,14.9862158756494,178.0,SCORED,14.9862158756494,178.0,SCORED,14.9862158756494,178.0,SCORED
PRIMARY9,Cosmos3_seed102_0022,NO_CONTACT,0.0,brown paper cup,1,0.6551218700999727,178,0.3704255956342378,166.0,SCORED,0.3704255956342378,166.0,SCORED,0.3704255956342378,166.0,SCORED
PRIMARY9,Cosmos3_seed103_0011,CONTACT,1.0,white cup,1,18.498285700377256,35,2.5177888509756414,51.0,SCORED,3.190066961000043,47.0,SCORED,18.498285700377256,35.0,SCORED
PRIMARY9,Cosmos3_seed103_0022,CONTACT,1.0,brown paper cup,1,50.0,141,50.0,141.0,SCORED,50.0,141.0,SCORED,50.0,141.0,SCORED
PRIMARY9,Cosmos3_seed103_0037,NO_CONTACT,0.0,white tape roll,1,44.48017873814519,129,44.48017873814519,129.0,SCORED,44.48017873814519,129.0,SCORED,44.48017873814519,129.0,SCORED
